samples,plot_num,sub_plot_tx,sp_id,plot_cond,sp_cond,sp,tx_full,leaf_pos,sample_type,sample_mass,DmgB,DmgC,DmgM,DmgS,herb_dmg,n_dmg_types,LeafCFU,logLeafCFU,morphotypes,stem_tx
EL12_040,26,TX,26_TX,JA,JA,A1,JATX,12,2,0.05647,y,n,n,n,1,1,265866.4913,5.424663604,4,JATX
EL12_065,35,C,35_C,JA,MOCK,A1,JAC,5,2,0.03123,n,n,n,n,0,0,1261969.076,6.101048713,3,MC
EL12_178,20,TX,20_TX,SA,SA,D1,SATX,6,Half Leaf,0.04059,n,n,n,n,0,0,75.31972455,1.876908723,1,SATX
EL12_111,15,C,15_C,SA,MOCK,D1,SAC,NA,2,0.03918,n,n,n,n,0,0,9122.340426,3.960106275,1,MC
EL12_112,15,C,15_C,SA,MOCK,C1,SAC,NA,2,0.03228,y,y,n,n,1,2,1534662.89,6.186012991,3,MC
EL12_057,35,TX,35_TX,JA,JA,B1,JATX,12,Half Leaf,0.01597,n,y,n,n,1,1,138372.093,5.14104851,2,JATX
EL12_205,18,C,18_C,M,MOCK,A1,MC,4,2,0.02068,y,n,n,y,1,2,3926.282051,3.593981495,5,MC
EL12_216,8,TX,8_TX,SA,SA,D1,SATX,NA,2,0.01925,y,n,n,n,1,1,684904.1534,5.8356298,2,SATX
EL12_221,18,C,18_C,M,MOCK,C1,MC,6,2,0.0272,y,n,n,n,1,1,1968.75,3.294190571,2,MC
EL12_044,31,C,31_C,SA,MOCK,A1,SAC,3,2,0.02509,n,n,n,y,1,1,81198.21542,4.909546484,5,MC
EL12_037,26,C,26_C,JA,MOCK,A1,JAC,5,2,0.04571,y,n,n,n,1,1,687780.7268,5.837450002,1,MC
EL12_218,8,TX,8_TX,SA,SA,B1,SATX,NA,2,0.03081,n,n,n,y,1,1,712209.3023,5.852607642,1,SATX
EL12_093,9,C,9_C,SA,MOCK,C1,SAC,3,2,0.03557,n,n,n,n,0,0,10832.49116,4.034728343,2,MC
EL12_088,7,C,7_C,M,MOCK,A1,MC,9,2,0.0119,n,y,y,n,1,2,NA,NA,NA,MC
EL12_123,13,C,13_C,M,MOCK,A1,MC,NA,2,0.05818,y,n,n,y,1,2,1894.329897,3.277455613,3,MC
EL12_051,14,C,14_C,JA,MOCK,A1,JAC,9,Whole Leaf,0.02878,n,n,n,n,0,0,NA,NA,NA,MC
EL12_173,20,C,20_C,SA,MOCK,B1,SAC,11,Half Leaf,0.03868,NA,NA,n,n,0,0,2166.56263,3.335771248,2,MC
EL12_166,17,TX,17_TX,JA,JA,B1,JATX,3,2,0.03145,y,n,y,n,1,2,6065.979657,3.78290095,1,JATX
EL12_198,23,TX,23_TX,M,MOCK,B1,MTX,9,Whole Leaf,0.05312,y,y,n,n,1,1,NA,NA,NA,MC
EL12_196,24,TX,24_TX,SA,SA,D1,SATX,9,2,0.04701,y,n,n,n,1,1,NA,NA,NA,SATX
EL12_053,26,C,26_C,JA,MOCK,D1,JAC,9,Whole Leaf,0.03151,y,n,n,n,1,1,NA,NA,NA,MC
EL12_062,36,C,36_C,M,MOCK,D1,MC,9,2,0.03692,n,n,n,n,0,0,NA,NA,NA,MC
EL12_236,39,C,39_C,JA,MOCK,D1,JAC,9,Half Leaf,0.02782,y,n,y,y,1,3,NA,NA,NA,MC
EL12_228,40,C,40_C,JA,MOCK,C1,JAC,9,Whole Leaf,0.04345,y,n,y,y,1,3,NA,NA,NA,MC
EL12_089,7,C,7_C,M,MOCK,C1,MC,8,Half Leaf,0.01493,y,y,n,n,1,2,NA,NA,NA,MC
EL12_114,7,TX,7_TX,M,MOCK,C1,MTX,8,Whole Leaf,0.03906,y,y,n,n,1,2,NA,NA,NA,MC
EL12_129,16,TX,16_TX,JA,JA,C1,JATX,3,2,0.03587,y,n,n,y,1,2,1635461.373,6.213640291,4,JATX
EL12_165,17,TX,17_TX,JA,JA,A1,JATX,5,2,0.03206,n,n,n,y,1,1,435.0142045,2.638503438,2,JATX
EL12_084,10,C,10_C,M,MOCK,A1,MC,12,Half Leaf,0.01986,y,n,n,n,1,1,82584.26966,4.916897332,4,MC
EL12_141,15,TX,15_TX,SA,SA,D1,SATX,NA,2,0.03902,y,n,n,n,1,1,12865.01025,4.109410136,3,SATX
EL12_137,12,TX,12_TX,SA,SA,C1,SATX,8,2,0.03746,y,y,y,y,1,4,NA,NA,NA,SATX
EL12_092,9,C,9_C,SA,MOCK,D1,SAC,10,Half Leaf,0.0278,y,n,n,n,1,1,880.9780654,2.944965096,1,MC
EL12_217,8,TX,8_TX,SA,SA,C1,SATX,NA,Half Leaf,0.03946,n,y,n,y,1,2,2924.403183,3.466037248,3,SATX
EL12_108,8,C,8_C,SA,MOCK,C1,SAC,NA,Half Leaf,0.03314,y,n,n,n,1,1,1516089.109,6.180724728,1,MC
EL12_038,26,TX,26_TX,JA,JA,D1,JATX,4,2,0.0307,y,n,n,n,1,1,344332.9016,5.536978522,4,JATX
EL12_131,16,C,16_C,JA,MOCK,D1,JAC,5,2,0.03059,y,y,n,y,1,3,77179.93952,4.887504434,4,MC
EL12_203,23,C,23_C,M,MOCK,A1,MC,8,Whole Leaf,0.01339,y,n,n,n,1,1,NA,NA,NA,MC
EL12_133,12,C,12_C,SA,MOCK,C1,SAC,7,2,0.04339,y,n,n,y,1,2,133474.5763,5.125398551,4,MC
EL12_174,20,C,20_C,SA,MOCK,D1,SAC,8,Half Leaf,0.03465,NA,NA,n,n,0,0,2180.025626,3.338461599,3,MC
EL12_106,11,C,11_C,M,MOCK,D1,MC,6,Frags,0.02991,y,n,n,n,1,1,1729.615249,3.237949506,1,MC
EL12_167,17,TX,17_TX,JA,JA,C1,JATX,10,Frag,0.04357,n,n,y,y,1,2,31805.66483,4.502504478,3,JATX
EL12_149,7,C,7_C,M,MOCK,D1,MC,7,Whole Leaf,0.02919,y,n,n,n,1,1,NA,NA,NA,MC
EL12_043,31,TX,31_TX,SA,SA,B1,SATX,11,2,0.03453,n,n,y,n,1,1,447171.3205,5.650473942,5,SATX
EL12_061,36,C,36_C,M,MOCK,C1,MC,4,2,0.04247,y,n,n,n,1,1,19773.8794,4.296091881,6,MC
EL12_156,24,TX,24_TX,SA,SA,B1,SATX,11,2,0.05083,y,n,n,n,1,1,618759.827,5.791522109,5,SATX
EL12_126,16,C,16_C,JA,MOCK,B1,JAC,7,2,0.02944,y,n,n,n,1,1,10112.82334,4.00487242,2,MC
EL12_095,9,TX,9_TX,SA,SA,D1,SATX,10,Half Leaf,0.02879,n,n,n,n,0,0,22428.42876,4.35079885,1,SATX
EL12_115,8,C,8_C,SA,MOCK,A1,SAC,NA,2,0.02638,y,y,n,n,1,2,6833888.426,6.834667884,4,MC
EL12_204,23,C,23_C,M,MOCK,D1,MC,2,2,0.03718,y,y,n,y,1,3,11083333.33,7.044670395,1,MC
EL12_177,20,TX,20_TX,SA,SA,C1,SATX,2,Half Leaf,0.05075,n,y,n,n,1,1,1457262.747,6.163537863,3,SATX
EL12_132,12,C,12_C,SA,MOCK,D1,SAC,1,2,0.04787,y,y,n,y,1,3,746988.3259,5.873313815,8,MC
EL12_064,35,C,35_C,JA,MOCK,C1,JAC,7,2,0.04388,n,n,n,n,0,0,NA,NA,NA,MC
EL12_226,40,C,40_C,JA,MOCK,A1,JAC,7,Whole Leaf,0.03563,y,y,y,n,1,3,NA,NA,NA,MC
EL12_162,17,C,17_C,JA,MOCK,A1,JAC,5,2,0.04392,y,n,n,y,1,2,294.4711538,2.469042758,1,MC
EL12_231,39,C,39_C,JA,MOCK,B1,JAC,8,Frag,0.05559,y,n,n,n,1,1,50991.96689,4.707501764,5,MC
EL12_048,14,C,14_C,JA,MOCK,B1,JAC,6,Whole Leaf,0.02425,n,n,n,n,0,0,NA,NA,NA,MC
EL12_161,17,C,17_C,JA,MOCK,B1,JAC,4,Frag,0.02993,n,n,y,y,1,2,784000,5.894316063,6,MC
EL12_134,12,C,12_C,SA,MOCK,B1,SAC,8,2,0.05028,y,n,y,y,1,3,9907.760814,3.995975514,5,MC
EL12_232,39,TX,39_TX,JA,JA,D1,JATX,3,2 Frag,0.03707,n,n,y,y,1,2,6465277.778,6.810587189,2,JATX
EL12_060,36,C,36_C,M,MOCK,B1,MC,6,2,0.03033,y,n,n,y,1,2,NA,NA,NA,MC
EL12_066,36,TX,36_TX,M,MOCK,C1,MTX,6,2,0.03511,y,n,n,n,1,1,NA,NA,NA,MC
EL12_069,36,TX,36_TX,M,MOCK,B1,MTX,6,42310,0.03023,y,y,y,n,1,3,NA,NA,NA,MC
EL12_143,13,TX,13_TX,M,MOCK,C1,MTX,NA,2,0.04671,n,n,n,n,0,0,484195.1862,5.685020467,4,MC
EL12_179,20,TX,20_TX,SA,SA,A1,SATX,2,Half Leaf,0.0591,n,y,y,n,1,2,147709003.2,8.169406967,3,SATX
EL12_050,14,C,14_C,JA,MOCK,C1,JAC,7,2,0.03404,n,n,y,n,1,1,192336912.5,8.28406264,2,MC
EL12_194,24,TX,24_TX,SA,SA,A1,SATX,5,Half Leaf,0.0371,y,n,n,n,1,1,25472369.92,7.406069353,6,SATX
EL12_100,11,TX,11_TX,M,MOCK,A1,MTX,8,2,0.03343,y,n,y,n,1,2,145726.5739,5.163538755,4,MC
EL12_055,26,TX,26_TX,JA,JA,C1,JATX,4,2,0.02848,y,y,y,n,1,3,4306102.362,6.634084349,5,JATX
EL12_109,13,C,13_C,M,MOCK,C1,MC,NA,Half Leaf,0.05974,n,n,n,y,1,1,62645.51804,4.796890005,7,MC
EL12_039,31,TX,31_TX,SA,SA,A1,SATX,7,2,0.03775,n,n,n,n,0,0,15422.66187,4.188159337,2,SATX
EL12_075,35,TX,35_TX,JA,JA,A1,JATX,5,2,0.04441,n,n,n,y,1,1,9404.408123,3.973331468,1,JATX
EL12_119,7,TX,7_TX,M,MOCK,B1,MTX,11,2,0.04758,y,n,n,n,1,1,9920.221296,3.99652136,3,MC
EL12_188,18,TX,18_TX,M,MOCK,A1,MTX,5,Whole Leaf,0.02799,y,n,n,n,1,1,NA,NA,NA,MC
EL12_124,16,C,16_C,JA,MOCK,A1,JAC,NA,2,0.03129,n,n,n,n,0,0,829953.8611,5.91905395,6,MC
EL12_128,16,TX,16_TX,JA,JA,B1,JATX,5,2,0.03582,y,n,n,n,1,1,63094.29477,4.79999009,3,JATX
EL12_110,13,C,13_C,M,MOCK,D1,MC,NA,2,0.04491,n,n,n,y,1,1,580.0189394,2.763442175,1,MC
EL12_097,10,TX,10_TX,M,MOCK,B1,MTX,12,2,0.04195,n,n,n,n,0,0,41932.2474,4.62254814,2,MC
EL12_158,17,C,17_C,JA,MOCK,D1,JAC,11,2,0.04466,y,n,y,n,1,2,454738.2342,5.657761471,7,MC
EL12_127,16,TX,16_TX,JA,JA,A1,JATX,3,2,0.03048,y,n,y,n,1,2,14537480.83,7.162489155,6,JATX
EL12_068,36,C,36_C,M,MOCK,A1,MC,5,2,0.02601,n,n,n,n,0,0,NA,NA,NA,MC
EL12_117,9,C,9_C,SA,MOCK,B1,SAC,1,Half Leaf,0.02806,y,n,n,n,1,1,148125.7557,5.170630579,4,MC
EL12_239,40,TX,40_TX,JA,JA,C1,JATX,5,Whole Leaf,0.05313,n,n,y,y,1,2,NA,NA,NA,JATX
EL12_193,24,C,24_C,SA,MOCK,D1,SAC,4,Half Leaf,0.03854,n,n,n,n,0,0,1072.535022,3.030411482,3,MC
EL12_083,10,C,10_C,M,MOCK,B1,MC,5,2,0.03347,y,n,n,n,1,1,127674.1635,5.106103021,4,MC
EL12_146,15,TX,15_TX,SA,SA,A1,SATX,NA,2,0.0404,n,n,n,y,1,1,2843556.796,6.453861907,3,SATX
EL12_175,20,C,20_C,SA,MOCK,C1,SAC,4,Whole Leaf,0.05333,NA,NA,n,n,0,0,NA,NA,NA,MC
EL12_135,12,C,12_C,SA,MOCK,A1,SAC,7,Half Leaf,0.0233,y,y,y,y,1,4,11269649.87,7.051910424,2,MC
EL12_197,24,C,24_C,SA,MOCK,A1,SAC,4,Whole Leaf,0.07258,y,n,n,n,1,1,NA,NA,NA,MC
EL12_164,17,C,17_C,JA,MOCK,C1,JAC,3,2,0.04306,n,n,n,y,1,1,114530.2548,5.058920227,6,MC
EL12_157,24,C,24_C,SA,MOCK,C1,SAC,15,Half Leaf,0.04944,y,n,n,y,1,2,1760937.5,6.245743942,5,MC
EL12_107,15,TX,15_TX,SA,SA,B1,SATX,NA,Half Leaf,0.05652,n,n,n,n,0,0,8185.530441,3.913046828,5,SATX
EL12_238,39,C,39_C,JA,MOCK,C1,JAC,3,2,0.02289,y,n,y,y,1,3,2067187.5,6.31537987,5,MC
EL12_101,11,TX,11_TX,M,MOCK,B1,MTX,1,Half Leaf,0.03586,y,n,n,n,1,1,3045570.265,6.483668624,2,MC
EL12_118,7,TX,7_TX,M,MOCK,A1,MTX,1,2,0.03779,n,n,y,n,1,1,7825991.832,6.89353939,4,MC
EL12_103,11,TX,11_TX,M,MOCK,D1,MTX,10,2,0.03154,y,n,n,n,1,1,338452.2532,5.52949741,4,MC
EL12_139,12,TX,12_TX,SA,SA,A1,SATX,11,2,0.04253,y,y,y,y,1,4,372135.8217,5.570701477,4,SATX
EL12_104,11,C,11_C,M,MOCK,B1,MC,1,Half Leaf,0.03657,yn,n,n,n,0,0,478814.8843,5.680167642,2,MC
EL12_213,8,TX,8_TX,SA,SA,A1,SATX,NA,2,0.02782,n,n,n,n,0,0,648.3768525,2.811827502,1,SATX
EL12_215,20,C,20_C,SA,MOCK,A1,SAC,11,Half Leaf,0.0347,y,n,n,y,1,2,467.5572519,2.669834797,1,MC
EL12_145,13,TX,13_TX,M,MOCK,D1,MTX,NA,2,0.04112,n,y,y,n,1,2,2992.67101,3.476058977,3,MC
EL12_190,23,TX,23_TX,M,MOCK,C1,MTX,2,2,0.04283,y,n,n,n,1,1,2237980.769,6.34985635,5,MC
EL12_211,39,TX,39_TX,JA,JA,A1,JATX,3,2,0.02914,n,y,y,y,1,3,90548387.1,7.956880719,3,JATX
EL12_082,10,C,10_C,M,MOCK,C1,MC,1,2,0.04216,y,n,n,n,1,1,142959.0249,5.155211577,5,MC
EL12_120,8,C,8_C,SA,MOCK,D1,SAC,NA,2,0.03078,y,n,n,n,1,1,19473.50543,4.289444136,5,MC
EL12_224,40,TX,40_TX,JA,JA,B1,JATX,4,2,0.03856,y,n,n,n,1,1,5335.365854,3.727164205,4,JATX
EL12_070,36,TX,36_TX,M,MOCK,A1,MTX,1,2,0.03684,n,y,n,n,1,1,51243.9454,4.70964256,2,MC
EL12_147,9,TX,9_TX,SA,SA,B4,SATX,7,Half Leaf,0.01989,y,y,y,n,1,3,623398576.5,8.794765806,4,SATX
EL12_090,7,C,7_C,M,MOCK,B1,MC,2,Half Leaf,0.01443,y,y,n,n,1,2,NA,NA,NA,MC
EL12_094,9,TX,9_TX,SA,SA,C1,SATX,2,Whole Leaf,0.03389,n,y,y,n,1,2,NA,NA,NA,SATX
EL12_105,11,C,11_C,M,MOCK,C1,MC,2,Half Leaf,0.05385,y,n,n,y,1,2,101396.2161,5.006021748,6,MC
EL12_189,18,TX,18_TX,M,MOCK,B1,MTX,3,Half Leaf,0.07362,y,y,y,n,1,3,14410.50889,4.158679318,4,MC
EL12_227,40,TX,40_TX,JA,JA,A1,JATX,5,Half Leaf,0.01719,n,y,y,n,1,2,115705128.2,8.063352608,5,JATX
EL12_073,35,TX,35_TX,JA,JA,C1,JATX,3,2,0.03241,n,y,y,n,1,2,72112247.92,7.858009034,5,JATX
EL12_200,23,C,23_C,M,MOCK,B1,MC,8,2,0.04098,y,n,y,y,1,3,10915.22403,4.038032654,2,MC
EL12_199,23,C,23_C,M,MOCK,C1,MC,7,2,0.04324,y,y,y,y,1,4,588480.3922,5.769731997,2,MC
EL12_122,13,TX,13_TX,M,MOCK,A1,MTX,NA,Half Leaf,0.02529,n,n,y,n,1,1,702124.0728,5.846413863,6,MC
EL12_121,13,C,13_C,M,MOCK,B1,MC,NA,2,0.05028,n,n,n,y,1,1,214667.1506,5.331765592,4,MC
EL12_072,35,TX,35_TX,JA,JA,D1,JATX,5,2,0.03772,n,n,y,n,1,1,4537826.087,6.656847847,3,JATX
EL12_201,23,TX,23_TX,M,MOCK,A1,MTX,8,Half Leaf,0.03703,y,n,y,n,1,2,46884.56828,4.671029921,3,MC
EL12_098,10,TX,10_TX,M,MOCK,C1,MTX,8,2,0.0454,y,n,y,n,1,2,43947314.47,7.642932341,3,MC
EL12_202,23,TX,23_TX,M,MOCK,D1,MTX,5,2,0.0319,y,n,n,n,1,1,2252961.347,6.352753741,4,MC
