sample,sample_mass,plot_num,sub_plot_tx,sp_cond,plot_cond,tx_full,herb_dmg,stem_tx
NPB13_051_TU,0.103,51,TX,SA,SA,SATX,0,SATX
NPB13_010_CU,0.0866,10,C,MOCK,M,MC,0,MC
NPB13_031_CU,0.0922,31,C,MOCK,M,MC,0,MC
NPB13_033_CU,0.096,33,C,MOCK,SA,SAC,0,MC
NPB13_031_TU,0.0943,31,TX,MOCK,M,MTX,0,MC
NPB13_041_TD,0.026,41,TX,MOCK,M,MTX,0,MC
NPB13_054_CU,0.091,54,C,MOCK,SA,SAC,0,MC
NPB13_054_TU,0.0897,54,TX,SA,SA,SATX,0,SATX
NPB13_018_CU,0.0826,18,C,MOCK,M,MC,0,MC
NPB13_046_TU,0.0956,46,TX,JA,JA,JATX,0,JATX
NPB13_030_CU,0.0746,30,C,MOCK,SA,SAC,0,MC
NPB13_040_TU,0.0822,40,TX,SA,SA,SATX,0,SATX
NPB13_045_TU,0.125,45,TX,JA,JA,JATX,0,JATX
NPB13_015_CU,0.0921,15,C,MOCK,M,MC,0,MC
NPB13_043_TD,0.0243,43,TX,MOCK,M,MTX,1,MC
NPB13_029_TU,0.0739,29,TX,JA,JA,JATX,0,JATX
