"samples"	"is.in_sample_prep_sheet"	"ROW_TOTALS"	"total"	"contam"	"prop_c"	"PlotNum"	"PlotCond"	"SubPlot"	"LeafPos"	"sample_mass"	"herb.dmg"	"LeafCFU"	"logLeafCFU"	"stem.tx"	"Sphingomonas1"	"Pseudomonas1"	"Acetobacteraceae1"	"Pseudomonas2"	"Pseudomonas3"	"Massilia1"	"Massilia2"	"Sphingomonas2"	"Xanthomonas"	"Pseudomonas5"	"Duganella1"	"Microbacteriaceae2"	"Microbacteriaceae1"	"Geobacillus"	"Clavibacter"	"Pseudomonas6"	"Massilia3"	"Pedobacter1"	"Acetobacteraceae2"	"Anoxybacillus"	"Rhizobium1"	"Pseudaminobacter"	"Hyphomicrobium"	"Chryseobacterium1"	"Chryseobacterium2"	"Pedobacter2"	"Methylobacterium1"	"Microbacteriaceae3"	"Sphingomonas5"	"Aureimonas"	"Sphingomonadaceae"	"Polaromonas"	"Janthinobacterium"	"Acinetobacter"	"Neorhizobium"	"Pseudomonas13"	"Methylobacterium2"	"Rhodococcus"	"Escherichia"	"Chryseobacterium3"	"Flavobacterium"	"Hymenobacter1"	"Pedobacter3"	"Sphingomonas9"	"Pseudomonas24"	"Massilia5"	"Arthrobacter"	"Comamonas"	"Pseudomonas26"	"Brevundimonas"	"Hymenobacter3"	"Duganella2"	"Rhizobium3"	"Staphylococcus"	"Devosia"	"Pseudomonas30"	"Pedobacter4"	"Lactococcus"	"Enterococcus"	"Sanguibacter"	"Ramlibacter1"	"Pedobacter5"	"Hymenobacter4"	"Epilithonimonas"	"Ramlibacter2"	"Paenibacillus"	"Cloacibacterium"	"Pseudomonas37"	"Sphingomonas24"	"Methylobacterium4"	"ROW_TOTALS_1perc"
"41"	"EL12_150"	1	66	6494	6428	0.99	9	"SA"	"A1"	13	0.04364	0	4275.397337	3.630976482	"SATX"	6	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	1	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	10	37
"42"	"EL12_099"	1	1555	12027	10472	0.856815578	11	"M"	"C1"	11	0.03529	1	NA	NA	"MC"	15	1	0	0	73	562	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	4	682
"43"	"EL12_091"	1	2403	6698	4295	0.641	9	"SA"	"A1"	5	0.03317	0	85566.92658	4.932305933	"MC"	854	5	0	0	381	5	788	0	0	0	33	24	0	0	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	0	0	0	0	22	0	0	0	0	0	2	0	4	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	20	2157
"44"	"EL12_125"	1	6173	6752	579	0.086	16	"JA"	"C1"	5	0.04107	1	30625	4.486076097	"MC"	2718	2144	0	0	17	303	0	5	0	0	192	4	10	0	0	0	662	0	0	0	0	0	0	0	0	0	1	0	1	1	0	0	0	0	0	1	3	0	0	0	0	0	2	25	0	0	0	1	44	5	0	2	0	0	2	0	0	0	0	0	4	2	0	0	0	0	0	17	0	0	6166
"45"	"EL12_136"	1	1936	6793	4857	0.715	12	"SA"	"D1"	5	0.04913	1	7777.029627	3.890813753	"SATX"	704	665	0	4	32	5	245	0	0	0	1	73	0	0	0	0	3	0	0	0	0	0	2	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	1747
"46"	"EL12_040"	1	4279	6853	2574	0.376	26	"JA"	"A1"	12	0.05647	1	265866.4913	5.424663604	"JATX"	2164	95	0	0	396	157	0	72	0	241	0	75	0	0	0	0	0	0	0	0	0	0	649	0	0	0	0	0	0	0	35	0	0	0	0	0	0	0	13	0	0	0	0	3	0	0	0	12	1	0	0	0	0	16	0	3	0	1	2	0	0	0	0	0	0	0	0	0	0	0	3935
"47"	"EL12_065"	1	335	7210	6875	0.954	35	"JA"	"A1"	5	0.03123	0	1261969.076	6.101048713	"MC"	15	0	0	0	0	0	0	0	0	0	0	7	12	0	0	5	0	0	0	0	0	0	228	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	46	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	5	2	0	0	0	0	327
"48"	"EL12_178"	1	856	7245	6389	0.882	20	"SA"	"D1"	6	0.04059	0	75.31972455	1.876908723	"SATX"	384	44	0	0	3	3	1	124	0	4	0	1	5	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	6	1	0	6	0	0	0	0	0	0	9	0	0	0	0	0	0	0	0	0	0	0	0	595
"49"	"EL12_111"	1	892	7425	6533	0.88	15	"SA"	"D1"	NA	0.03918	0	9122.340426	3.960106275	"MC"	1	3	0	0	559	2	238	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	21	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	2	0	3	0	0	0	0	0	0	0	1	0	10	0	0	0	0	0	0	0	0	0	0	0	0	857
"50"	"EL12_112"	1	4242	7462	3220	0.432	15	"SA"	"C1"	NA	0.03228	1	1534662.89	6.186012991	"MC"	1262	348	0	0	1036	59	1129	0	0	0	6	22	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	5	0	8	5	0	0	0	0	11	0	6	12	37	1	0	0	2	0	0	0	4	0	20	0	0	0	0	0	0	0	0	0	0	0	21	3994
