plot	region	condition	tx	subplot	txfull	stem.num	height	n.leaves	n.mines	n.mined.leaves	n.fruits
7	A	JA	MOCK	7_A	JA_MOCK	D1	41	9	4	4	1
7	A	JA	MOCK	7_A	JA_MOCK	D2	43	7	1	1	4
7	A	JA	MOCK	7_A	JA_MOCK	D3	40	8	4	4	1
7	A	JA	MOCK	7_A	JA_MOCK	D4	44	12	0	0	5
8	A	SA	TX	8_B	SA_TX	A1	33	9	0	0	4
8	A	SA	TX	8_B	SA_TX	A2	23	8	0	0	0
8	A	SA	TX	8_B	SA_TX	A3	19	5	0	0	0
8	A	SA	TX	8_B	SA_TX	A4	34	8	0	0	9
8	A	SA	TX	8_B	SA_TX	B1	27	8	1	1	0
8	A	SA	TX	8_B	SA_TX	B2	34	10	4	4	10
8	A	SA	TX	8_B	SA_TX	B3	30	8	2	2	7
8	A	SA	TX	8_B	SA_TX	B4	25	8	0	0	0
8	A	SA	TX	8_B	SA_TX	C1	37	7	1	1	11
8	A	SA	TX	8_B	SA_TX	C2	32	9	0	0	2
8	A	SA	TX	8_B	SA_TX	C3	38	8	1	1	9
8	A	SA	TX	8_B	SA_TX	C4	37	6	0	0	9
8	A	SA	TX	8_B	SA_TX	D1	38	8	0	0	8
8	A	SA	TX	8_B	SA_TX	D2	33	5	0	0	7
8	A	SA	TX	8_B	SA_TX	D3	28	8	0	0	0
8	A	SA	TX	8_B	SA_TX	D4	40	5	1	1	9
8	A	SA	MOCK	8_A	SA_MOCK	A1	32	9	0	0	0
8	A	SA	MOCK	8_A	SA_MOCK	A2	42	11	1	1	4
8	A	SA	MOCK	8_A	SA_MOCK	A3	40	9	3	3	6
8	A	SA	MOCK	8_A	SA_MOCK	A4	40	11	0	0	0
8	A	SA	MOCK	8_A	SA_MOCK	B1	43	11	0	0	7
8	A	SA	MOCK	8_A	SA_MOCK	B2	42	7	1	1	3
8	A	SA	MOCK	8_A	SA_MOCK	B3	47	6	3	3	12
8	A	SA	MOCK	8_A	SA_MOCK	B4	42	10	3	3	6
8	A	SA	MOCK	8_A	SA_MOCK	C1	34	5	1	1	0
8	A	SA	MOCK	8_A	SA_MOCK	C2	39	9	4	4	0
8	A	SA	MOCK	8_A	SA_MOCK	C3	44	7	4	4	3
8	A	SA	MOCK	8_A	SA_MOCK	C4	37	9	2	2	0
8	A	SA	MOCK	8_A	SA_MOCK	D1	40	10	2	2	5
8	A	SA	MOCK	8_A	SA_MOCK	D2	40	10	3	3	2
8	A	SA	MOCK	8_A	SA_MOCK	D3	36	7	1	2	2
8	A	SA	MOCK	8_A	SA_MOCK	D4	38	16	0	0	0
9	A	CTR	TX	9_B	CTR_TX	A1	30	9	2	2	0
9	A	CTR	TX	9_B	CTR_TX	A2	42	12	0	0	2
9	A	CTR	TX	9_B	CTR_TX	A3	41	5	2	2	5
9	A	CTR	TX	9_B	CTR_TX	A4	23	6	0	0	0
9	A	CTR	TX	9_B	CTR_TX	B1	43	6	0	0	19
9	A	CTR	TX	9_B	CTR_TX	B2	31	10	2	2	0
9	A	CTR	TX	9_B	CTR_TX	B3	30	5	1	1	0
9	A	CTR	TX	9_B	CTR_TX	B4	42	8	1	1	15
9	A	CTR	TX	9_B	CTR_TX	C1	39	6	1	1	13
9	A	CTR	TX	9_B	CTR_TX	C2	25	7	0	0	0
9	A	CTR	TX	9_B	CTR_TX	C3	34	5	1	1	8
9	A	CTR	TX	9_B	CTR_TX	C4	35	13	1	1	2
9	A	CTR	TX	9_B	CTR_TX	D1	39	6	2	2	7
9	A	CTR	TX	9_B	CTR_TX	D2	39	16	0	0	2
9	A	CTR	TX	9_B	CTR_TX	D3	29	7	1	1	0
9	A	CTR	TX	9_B	CTR_TX	D4	35	10	3	3	0
9	A	CTR	MOCK	9_A	CTR_MOCK	A1	35	9	3	3	3
9	A	CTR	MOCK	9_A	CTR_MOCK	A2	37	6	2	2	2
9	A	CTR	MOCK	9_A	CTR_MOCK	A3	19	10	3	3	0
9	A	CTR	MOCK	9_A	CTR_MOCK	A4	39	9	2	2	13
9	A	CTR	MOCK	9_A	CTR_MOCK	B1	35	12	0	0	13
9	A	CTR	MOCK	9_A	CTR_MOCK	B2	31	9	1	1	11
9	A	CTR	MOCK	9_A	CTR_MOCK	B3	30	11	0	0	9
9	A	CTR	MOCK	9_A	CTR_MOCK	B4	23	10	2	2	0
9	A	CTR	MOCK	9_A	CTR_MOCK	C1	36	10	1	1	5
9	A	CTR	MOCK	9_A	CTR_MOCK	C2	37	10	1	1	13
9	A	CTR	MOCK	9_A	CTR_MOCK	C3	35	8	2	2	7
9	A	CTR	MOCK	9_A	CTR_MOCK	C4	40	9	4	4	15
9	A	CTR	MOCK	9_A	CTR_MOCK	D1	37	8	0	0	12
9	A	CTR	MOCK	9_A	CTR_MOCK	D2	35	9	3	3	10
9	A	CTR	MOCK	9_A	CTR_MOCK	D3	31	6	3	3	4
9	A	CTR	MOCK	9_A	CTR_MOCK	D4	33	9	1	1	1
10	A	CTR	TX	10_B	CTR_TX	A1	35	12	3	3	3
10	A	CTR	TX	10_B	CTR_TX	A2	32	12	1	1	1
10	A	CTR	TX	10_B	CTR_TX	A3	32	7	1	1	2
10	A	CTR	TX	10_B	CTR_TX	A4	30	9	3	3	1
10	A	CTR	TX	10_B	CTR_TX	B1	35	8	1	1	7
10	A	CTR	TX	10_B	CTR_TX	B2	31	11	2	2	5
10	A	CTR	TX	10_B	CTR_TX	B3	30	8	4	4	6
10	A	CTR	TX	10_B	CTR_TX	B4	29	10	1	2	0
10	A	CTR	TX	10_B	CTR_TX	C1	38	9	0	0	5
10	A	CTR	TX	10_B	CTR_TX	C2	22	7	3	3	0
10	A	CTR	TX	10_B	CTR_TX	C3	30	7	4	4	0
10	A	CTR	TX	10_B	CTR_TX	C4	34	9	2	2	0
10	A	CTR	TX	10_B	CTR_TX	D1	34	8	1	1	2
10	A	CTR	TX	10_B	CTR_TX	D2	38	11	4	4	3
10	A	CTR	TX	10_B	CTR_TX	D3	30	12	4	4	0
10	A	CTR	TX	10_B	CTR_TX	D4	39	12	1	1	2
10	A	CTR	MOCK	10_A	CTR_MOCK	A1	31	7	1	1	0
10	A	CTR	MOCK	10_A	CTR_MOCK	A2	38	16	1	1	0
10	A	CTR	MOCK	10_A	CTR_MOCK	A3	32	7	1	1	0
10	A	CTR	MOCK	10_A	CTR_MOCK	A4	39	14	1	1	9
10	A	CTR	MOCK	10_A	CTR_MOCK	B1	36	8	4	4	7
10	A	CTR	MOCK	10_A	CTR_MOCK	B2	31	12	4	4	1
10	A	CTR	MOCK	10_A	CTR_MOCK	B3	36	12	4	4	0
10	A	CTR	MOCK	10_A	CTR_MOCK	B4	35	11	1	1	0
10	A	CTR	MOCK	10_A	CTR_MOCK	C1	30	11	5	5	0
10	A	CTR	MOCK	10_A	CTR_MOCK	C2	35	14	5	6	6
10	A	CTR	MOCK	10_A	CTR_MOCK	C3	35	11	0	0	4
10	A	CTR	MOCK	10_A	CTR_MOCK	C4	36	8	1	1	6
10	A	CTR	MOCK	10_A	CTR_MOCK	D1	42	12	1	1	8
10	A	CTR	MOCK	10_A	CTR_MOCK	D2	31	11	1	1	0
10	A	CTR	MOCK	10_A	CTR_MOCK	D3	33	11	0	0	0
10	A	CTR	MOCK	10_A	CTR_MOCK	D4	34	10	0	0	3
11	A	SA	TX	11_B	SA_TX	A1	34	7	4	4	1
11	A	SA	TX	11_B	SA_TX	A2	42	8	5	5	2
11	A	SA	TX	11_B	SA_TX	A3	38	9	5	5	1
11	A	SA	TX	11_B	SA_TX	A4	47	11	7	7	5
11	A	SA	TX	11_B	SA_TX	B1	26	6	3	3	0
11	A	SA	TX	11_B	SA_TX	B2	43	7	6	6	0
11	A	SA	TX	11_B	SA_TX	B3	44	6	6	6	0
11	A	SA	TX	11_B	SA_TX	B4	42	7	NA	3	1
11	A	SA	TX	11_B	SA_TX	C1	46	8	8	8	2
11	A	SA	TX	11_B	SA_TX	C2	46	11	9	9	1
11	A	SA	TX	11_B	SA_TX	C3	45	9	8	8	13
11	A	SA	TX	11_B	SA_TX	C4	40	10	10	10	3
11	A	SA	TX	11_B	SA_TX	D1	47	11	5	5	6
11	A	SA	TX	11_B	SA_TX	D2	38	7	5	5	0
11	A	SA	TX	11_B	SA_TX	D3	39	9	5	5	3
11	A	SA	TX	11_B	SA_TX	D4	43	9	2	2	4
11	A	SA	MOCK	11_A	SA_MOCK	A1	39	9	9	9	1
11	A	SA	MOCK	11_A	SA_MOCK	A2	22	10	10	10	0
11	A	SA	MOCK	11_A	SA_MOCK	A3	43	8	7	7	3
11	A	SA	MOCK	11_A	SA_MOCK	A4	36	11	8	8	0
11	A	SA	MOCK	11_A	SA_MOCK	B1	30	9	7	7	0
11	A	SA	MOCK	11_A	SA_MOCK	B2	36	8	8	8	0
11	A	SA	MOCK	11_A	SA_MOCK	B3	39	10	6	6	0
11	A	SA	MOCK	11_A	SA_MOCK	B4	50	10	5	5	3
11	A	SA	MOCK	11_A	SA_MOCK	C1	28	5	4	4	0
11	A	SA	MOCK	11_A	SA_MOCK	C2	23	4	3	3	0
11	A	SA	MOCK	11_A	SA_MOCK	C3	27	7	4	4	0
11	A	SA	MOCK	11_A	SA_MOCK	C4	29	9	5	5	0
11	A	SA	MOCK	11_A	SA_MOCK	D1	30	10	7	7	0
11	A	SA	MOCK	11_A	SA_MOCK	D2	37	7	5	5	0
11	A	SA	MOCK	11_A	SA_MOCK	D3	28	7	7	7	0
11	A	SA	MOCK	11_A	SA_MOCK	D4	33	7	7	7	0
12	A	JA	TX	12_B	JA_TX	A1	45	11	8	8	5
12	A	JA	TX	12_B	JA_TX	A2	44	10	7	7	1
12	A	JA	TX	12_B	JA_TX	A3	50	12	9	9	11
12	A	JA	TX	12_B	JA_TX	A4	42	8	5	5	0
12	A	JA	TX	12_B	JA_TX	B1	44	9	6	6	3
12	A	JA	TX	12_B	JA_TX	B2	39	10	4	4	0
12	A	JA	TX	12_B	JA_TX	B3	25	10	6	6	0
12	A	JA	TX	12_B	JA_TX	B4	40	9	6	6	0
12	A	JA	TX	12_B	JA_TX	C1	43	11	8	8	2
12	A	JA	TX	12_B	JA_TX	C2	46	10	7	7	3
12	A	JA	TX	12_B	JA_TX	C3	43	9	6	6	0
12	A	JA	TX	12_B	JA_TX	C4	46	10	5	5	5
12	A	JA	TX	12_B	JA_TX	D1	40	9	7	7	3
12	A	JA	TX	12_B	JA_TX	D2	39	10	8	8	0
12	A	JA	TX	12_B	JA_TX	D3	30	7	4	4	0
12	A	JA	TX	12_B	JA_TX	D4	40	10	6	6	0
12	A	JA	MOCK	12_A	JA_MOCK	A1	47	9	3	3	5
12	A	JA	MOCK	12_A	JA_MOCK	A2	47	11	7	7	6
12	A	JA	MOCK	12_A	JA_MOCK	A3	47	8	6	6	2
