plot	region	date	time	who	condition	tx	subplot	txfull	plant	height	n.leaves	n.mines	mined.leaves	yellow.leaves	n.mined.leaves	n.yellow.leaves	n.fruits	mined.leaf.rem	umined.leaf.rem	n.larvae	n.pupae	galls?	small mines?	other.notes
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	D2	12	5	3	"1,2,4"	1	3	1	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	D3	14	6	5	"2,3,4,5,6"	"1,2,3"	5	3	0			1				
4	A	15-Aug	11:50am	Nic & Cole	JA	zm	4_A	JA_zm	D4	16	6	3	"2,3,4"	1	3	1	0			1				
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	A1	23	7	5	"2,3,4,5,6"	"1,2,3,4,5"	5	5	3	NA	NA	1				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	A2	30	10	7	"2,3,4,5,6,7,8"	"1,2,3,4,5,6,7,8,9"	7	9	4			9	3			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	A3	33	11	10	"1,2,3,4,5,6,7,8,9,10"	"1,2,3,4,5,6,7"	10	7	1			3	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	A4	22	8	4	"3,4,5,6"	"1,2,3,4,5,6"	4	6	0			4				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	B1	30	8	7	"2,3,4,5,6,7,8"	"1,2,3,4,5,6,7"	7	7	8	NA	NA	3				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	B2	23	9	5	"2,3,4,5,6"	"1,2,3,4"	5	4	0			0				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	B3	34	8	8	"2,3,4,5,6,7,8,9"	"1,2,3,4,5,6"	8	6	11			0	3			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	B4	26	7	5	"2,3,4,5,6"	"3,4"	5	2	0			9	2			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	C1	34	10	9	"2,3,4,5,6,7,8,9,10"	"1,2,3,4,6,7,8,9"	9	8	9	NA	NA	8				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	C2	37	8	6	"2,3,4,6,7,8"	"1,2,4,6"	6	4	7			3	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	C3	30	6	5	"2,3,4,5,6"	"1,2,3,4,5"	5	5	9			4	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	C4	34	10	8	"2,3,4,5,6,7,8,9"	"1,2,3,4,5,7,9"	8	7	6			5				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	D1	22	8	6	"2,3,4,5,7,8"	"1,2,3,4,5"	6	5	0	NA	NA	3	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	D2	34	8	6	"2,3,4,5,6,8"	"1,3,4,5"	6	4	11			9	3			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	D3	38	8	8	"1,2,3,4,5,6,7,8"	"1,2,3,5,6"	8	5	13			3	3			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	tx	5_B	SA_tx	D4	26	10	6	"3,4,5,6,7,9"	"1,2,3,4,5"	6	5	1			4	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	A1	32	9	4	"2,3,5,7"	"1,2,3,4,5,6"	4	6	7	NA	NA	0	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	A2	22	10	5	"2,3,4,6,7"	"1,2,3,4,5"	5	5	0			1	1			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	A3	32	8	7	"2,3,4,5,6,7,8"	"1,2,4,6,7"	7	5	8			1	2			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	A4	25	8	6	"2,4,5,6,7,8"	"1,3,4,5"	6	4	0			5	2			plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	B1	25	7	5	"2,3,4,5,6"	"1,2"	5	2	0	NA	NA	2				plot is flattened
5	A	15-Aug	12:11pm	MS	SA	zm	5_A	SA_zm	B2	21	7	6	"2,3,4,5,6,7"	"1,2,3"	6	3	0			5				plot is flattened
