

This is RAxML version 7.7.6 released by Alexandros Stamatakis on August 29 2013.

With greatly appreciated code contributions by:
Andre Aberer (HITS)
Simon Berger (HITS)
Nick Pattengale (Sandia)
Wayne Pfeiffer (SDSC)
Akifumi S. Tanabe (NRIFS)


Alignment has 178 distinct alignment patterns

Proportion of gaps and completely undetermined characters in this alignment: 3.07%

RAxML rapid bootstrapping and subsequent ML search

Using 1 distinct models/data partitions with joint branch length optimization



Executing 1000 rapid bootstrap inferences and thereafter a thorough ML search 

All free model parameters will be estimated by RAxML
ML estimate of 25 per site rate categories

Likelihood of final tree will be evaluated and optimized under GAMMA

GAMMA Model parameters will be estimated up to an accuracy of 0.1000000000 Log Likelihood units

Partition: 0
Alignment Patterns: 178
Name: No Name Provided
DataType: DNA
Substitution Matrix: GTR




RAxML was called as follows:

raxmlHPC-PTHREADS-SSE3 -s node_reps_aln.filter.phy -n node_reps_aln.filter.out -m GTRCAT -f a -x 123 -N autoMRE -p 456 -T 2 



Time for BS model parameter optimization 3.507031
Bootstrap[179]: Time 10.173389 seconds, bootstrap likelihood -5146.767611, best rearrangement setting 9
Bootstrap[180]: Time 10.880385 seconds, bootstrap likelihood -4037.582098, best rearrangement setting 14
Bootstrap[181]: Time 10.655902 seconds, bootstrap likelihood -4322.145053, best rearrangement setting 8
Bootstrap[182]: Time 10.999195 seconds, bootstrap likelihood -4370.043704, best rearrangement setting 9
Bootstrap[183]: Time 11.164026 seconds, bootstrap likelihood -4722.220382, best rearrangement setting 9
Bootstrap[184]: Time 11.752736 seconds, bootstrap likelihood -4653.405760, best rearrangement setting 12
Bootstrap[185]: Time 11.528010 seconds, bootstrap likelihood -4606.448854, best rearrangement setting 14
Bootstrap[186]: Time 10.410822 seconds, bootstrap likelihood -4751.829337, best rearrangement setting 15
Bootstrap[187]: Time 11.751249 seconds, bootstrap likelihood -4252.851386, best rearrangement setting 14
Bootstrap[188]: Time 10.054456 seconds, bootstrap likelihood -4423.983036, best rearrangement setting 7
Bootstrap[189]: Time 11.518914 seconds, bootstrap likelihood -4511.733210, best rearrangement setting 10
Bootstrap[190]: Time 11.043397 seconds, bootstrap likelihood -4317.597960, best rearrangement setting 12
Bootstrap[191]: Time 10.512227 seconds, bootstrap likelihood -4595.572354, best rearrangement setting 12
Bootstrap[192]: Time 10.233002 seconds, bootstrap likelihood -4825.484642, best rearrangement setting 9
Bootstrap[193]: Time 12.044410 seconds, bootstrap likelihood -5432.517704, best rearrangement setting 15
Bootstrap[194]: Time 10.334719 seconds, bootstrap likelihood -4467.180192, best rearrangement setting 8
Bootstrap[195]: Time 11.106944 seconds, bootstrap likelihood -4186.026253, best rearrangement setting 11
Bootstrap[196]: Time 10.424012 seconds, bootstrap likelihood -4347.761468, best rearrangement setting 11
Bootstrap[197]: Time 11.697239 seconds, bootstrap likelihood -4595.529117, best rearrangement setting 10
Bootstrap[198]: Time 10.668773 seconds, bootstrap likelihood -5166.468904, best rearrangement setting 10
Bootstrap[199]: Time 8.432665 seconds, bootstrap likelihood -3977.949927, best rearrangement setting 5
Bootstrap[200]: Time 12.927730 seconds, bootstrap likelihood -5008.130974, best rearrangement setting 14
Bootstrap[201]: Time 10.845099 seconds, bootstrap likelihood -4224.064191, best rearrangement setting 15
Bootstrap[202]: Time 11.528184 seconds, bootstrap likelihood -4524.985436, best rearrangement setting 15
Bootstrap[203]: Time 10.343489 seconds, bootstrap likelihood -4894.350208, best rearrangement setting 6
Bootstrap[204]: Time 10.146642 seconds, bootstrap likelihood -4527.598621, best rearrangement setting 6
Bootstrap[205]: Time 12.148139 seconds, bootstrap likelihood -4587.012638, best rearrangement setting 15
Bootstrap[206]: Time 11.714541 seconds, bootstrap likelihood -4621.805649, best rearrangement setting 10
Bootstrap[207]: Time 12.502724 seconds, bootstrap likelihood -5021.068950, best rearrangement setting 11
Bootstrap[208]: Time 10.876732 seconds, bootstrap likelihood -4858.417814, best rearrangement setting 8
Bootstrap[209]: Time 8.770642 seconds, bootstrap likelihood -4546.285887, best rearrangement setting 5
Bootstrap[210]: Time 10.622561 seconds, bootstrap likelihood -4639.083258, best rearrangement setting 9
Bootstrap[211]: Time 10.539937 seconds, bootstrap likelihood -4254.623626, best rearrangement setting 13
Bootstrap[212]: Time 12.005701 seconds, bootstrap likelihood -5015.224618, best rearrangement setting 15
Bootstrap[213]: Time 9.714344 seconds, bootstrap likelihood -4418.004044, best rearrangement setting 5
Bootstrap[214]: Time 10.849287 seconds, bootstrap likelihood -4565.827306, best rearrangement setting 9
Bootstrap[215]: Time 10.964971 seconds, bootstrap likelihood -4816.552336, best rearrangement setting 15
Bootstrap[216]: Time 11.178484 seconds, bootstrap likelihood -4771.666702, best rearrangement setting 9
Bootstrap[217]: Time 11.915589 seconds, bootstrap likelihood -4461.874947, best rearrangement setting 14
Bootstrap[218]: Time 12.324021 seconds, bootstrap likelihood -5083.611937, best rearrangement setting 9
Bootstrap[219]: Time 11.323289 seconds, bootstrap likelihood -4534.183314, best rearrangement setting 10
Bootstrap[220]: Time 10.251584 seconds, bootstrap likelihood -4484.030585, best rearrangement setting 10
Bootstrap[221]: Time 10.265456 seconds, bootstrap likelihood -4680.322381, best rearrangement setting 7
Bootstrap[222]: Time 11.158452 seconds, bootstrap likelihood -4189.555871, best rearrangement setting 14
